,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
88,2000,22015.306122448983,115,0,0,28.0,119.3,28.83
89,2000,15272.556390977443,104,0,0,28.0,119.3,28.83
90,2000,14332.907075873827,50,0,0,28.0,119.3,28.83
91,2000,14962.715855572993,92,0,0,28.0,119.3,28.83
92,2000,10011.895321173664,11,0,0,28.0,119.3,28.83
93,2000,16932.397959183676,72,0,0,28.0,119.3,28.83
94,2000,8562.992125984256,118,0,0,28.0,119.3,28.83
95,2000,17743.324720068907,28,0,0,28.0,119.3,28.83
96,2000,16508.875739644976,116,0,0,28.0,119.3,28.83
97,2000,30833.333333333332,76,0,0,28.0,119.3,28.83
98,2000,18266.648764769063,18,0,0,28.0,119.3,28.83
99,2000,18386.00675809978,8,0,0,28.0,119.3,28.83
100,2000,41221.37404580153,62,0,0,28.0,119.3,28.83
101,2000,13575.949367088611,103,0,0,28.0,119.3,28.83
102,2000,17818.8899707887,117,0,0,28.0,119.3,28.83
103,2000,17647.05882352941,75,0,0,28.0,119.3,28.83
104,2000,16937.84464565321,26,0,0,28.0,119.3,28.83
105,2000,13236.313236313246,3,0,0,28.0,119.3,28.83
106,2000,22019.96476805637,29,0,0,28.0,119.3,28.83
107,2000,12947.57033248082,95,0,0,28.0,119.3,28.83
108,2000,12440.523394131646,34,0,0,28.0,119.3,28.83
109,2000,13818.027210884355,73,0,0,28.0,119.3,28.83
110,2000,12844.732487589636,19,0,0,28.0,119.3,28.83
111,2000,12737.3417721519,53,0,0,28.0,119.3,28.83
112,2000,15114.795918367341,65,0,0,28.0,119.3,28.83
113,2000,12947.570332480816,22,0,0,28.0,119.3,28.83
114,2000,14309.764309764307,74,0,0,28.0,119.3,28.83
115,2000,14732.14285714285,60,0,0,28.0,119.3,28.83
116,2000,16836.73469387755,94,0,0,28.0,119.3,28.83
117,2000,15267.175572519081,123,0,0,28.0,119.3,28.83
118,2000,14392.58135686707,68,0,0,28.0,119.3,28.83
119,2000,14398.422090729788,21,0,0,28.0,119.3,28.83
120,2000,17652.671755725187,100,0,0,28.0,119.3,28.83
121,2000,11430.760657564775,9,0,0,28.0,119.3,28.83
122,2000,14546.035805626594,41,0,0,28.0,119.3,28.83
123,2000,13858.246001103142,87,0,0,28.0,119.3,28.83
124,2000,14205.994897959183,125,0,0,28.0,119.3,28.83
125,2000,12692.925483623161,67,0,0,28.0,119.3,28.83
126,2000,13441.915227629512,56,0,0,28.0,119.3,28.83
127,2001,16791.30556332122,56,0,0,25.0,118.6,30.14
128,2001,17122.66301869585,0,0,0,25.0,118.6,30.14
129,2001,15172.148893079122,67,0,0,25.0,118.6,30.14
130,2001,17004.041876490857,125,0,0,25.0,118.6,30.14
131,2001,20359.719753215515,100,0,0,25.0,118.6,30.14
132,2001,14387.712454722763,9,0,0,25.0,118.6,30.14
133,2001,17117.34693877551,87,0,0,25.0,118.6,30.14
134,2001,17454.095316690735,123,0,0,25.0,118.6,30.14
135,2001,16779.638490164805,74,0,0,25.0,118.6,30.14
136,2001,17423.818842605535,65,0,0,25.0,118.6,30.14
137,2001,15523.303916161056,19,0,0,25.0,118.6,30.14
138,2001,15586.497890295355,53,0,0,25.0,118.6,30.14
139,2001,14354.549529359028,93,0,0,25.0,118.6,30.14
140,2001,17202.15113072256,68,0,0,25.0,118.6,30.14
141,2001,17307.692307692305,21,0,0,25.0,118.6,30.14
142,2001,16313.10418904404,73,0,0,25.0,118.6,30.14
143,2001,20151.24116389939,117,0,0,25.0,118.6,30.14
144,2001,16597.46835443038,103,0,0,25.0,118.6,30.14
145,2001,54705.56161395856,62,0,0,25.0,118.6,30.14
146,2001,19422.228350799778,94,0,0,25.0,118.6,30.14
147,2001,21166.180758017494,18,0,0,25.0,118.6,30.14
148,2001,38539.23853923854,76,0,0,25.0,118.6,30.14
149,2001,22071.49009474591,8,0,0,25.0,118.6,30.14
150,2001,21131.71355498721,75,0,0,25.0,118.6,30.14
151,2001,16060.689845856085,95,0,0,25.0,118.6,30.14
152,2001,26316.706751716683,29,0,0,25.0,118.6,30.14
153,2001,23436.044304889412,26,0,0,25.0,118.6,30.14
154,2001,16242.20374220374,3,0,0,25.0,118.6,30.14
155,2001,11504.811898512686,118,0,0,25.0,118.6,30.14
156,2001,17193.35739060365,50,0,0,25.0,118.6,30.14
157,2001,15732.3883161512,34,0,0,25.0,118.6,30.14
158,2001,18661.749209694415,116,0,0,25.0,118.6,30.14
159,2001,25918.367346938776,115,0,0,25.0,118.6,30.14
160,2001,16642.487046632123,36,0,0,25.0,118.6,30.14
161,2001,13076.295389636884,58,0,0,25.0,118.6,30.14
162,2001,17691.355477615016,54,0,0,25.0,118.6,30.14
163,2001,13306.959809550486,78,0,0,25.0,118.6,30.14
164,2001,16616.10590182019,30,0,0,25.0,118.6,30.14
165,2001,15742.72482200871,22,0,0,25.0,118.6,30.14
166,2001,20459.18367346939,119,0,0,25.0,118.6,30.14
167,2001,15768.66815268877,63,0,0,25.0,118.6,30.14
168,2001,14927.234927234926,80,0,0,25.0,118.6,30.14
169,2001,15960.22568960713,52,0,0,25.0,118.6,30.14
170,2001,17943.325979040266,79,0,0,25.0,118.6,30.14
171,2001,15694.799658994032,12,0,0,25.0,118.6,30.14
172,2001,15840.788370142573,13,0,0,25.0,118.6,30.14
173,2001,21453.23031398981,105,0,0,25.0,118.6,30.14
174,2001,24881.347887992404,114,0,0,25.0,118.6,30.14
175,2001,15319.460420370175,57,0,0,25.0,118.6,30.14
176,2001,20865.579433354367,39,0,0,25.0,118.6,30.14
177,2001,13822.60703572402,91,0,0,25.0,118.6,30.14
178,2001,16108.247422680413,77,0,0,25.0,118.6,30.14
179,2001,26114.478114478112,106,0,0,25.0,118.6,30.14
180,2001,17665.816326530614,92,0,0,25.0,118.6,30.14
181,2001,13521.186741429483,37,0,0,25.0,118.6,30.14
182,2001,17210.65138384121,17,0,0,25.0,118.6,30.14
183,2001,18980.370004236687,40,0,0,25.0,118.6,30.14
184,2001,12414.694351677073,11,0,0,25.0,118.6,30.14
185,2001,18162.915851272017,104,0,0,25.0,118.6,30.14
186,2001,37605.21885521885,102,0,0,25.0,118.6,30.14
